business_id,name,full_address,city,state,stars,categories
rncjoVoEFUJGCUoC1JgnUA,Peoria Income Tax Service,"8466 W Peoria Ave
Ste 6
Peoria, AZ 85345",Peoria,AZ,5.0,"['Accountants', 'Professional Services', 'Tax Services', 'Financial Services']"
0FNFSzCFP_rGUoJx8W7tJg,Bike Doctor,"2149 W Wood Dr
Phoenix, AZ 85029",Phoenix,AZ,5.0,"['Sporting Goods', 'Bikes', 'Shopping']"
3f_lyB6vFK48ukH6ScvLHg,Valley Permaculture Alliance,"1134 N Central Ave
Phoenix, AZ 85004",Phoenix,AZ,5.0,[]
usAsSV36QmUej8--yvN-dg,Food City,"845 W Southern Ave
Phoenix, AZ 85041",Phoenix,AZ,3.5,"['Food', 'Grocery']"
PzOqRohWw7F7YEPBz6AubA,Hot Bagels & Deli,"6520 W Happy Valley Rd
Ste 101
Glendale Az, AZ 85310",Glendale Az,AZ,3.5,"['Food', 'Bagels', 'Delis', 'Restaurants']"
gtQzAiy7D-dPU8WzT3jX3Q,Barney's New York Co-op,"The Americana at Brand
869 Americana Way
Glendale, CA 91210",Glendale,CA,4.5,"[""Women's Clothing"", 'Fashion', 'Shopping']"
FrBCYtCS_jydDjg1KsIgWQ,Zia Record Exchange,"1850 W Camelback Rd
Ste 1
Phoenix, AZ 85015",Phoenix,AZ,3.5,"['Music & DVDs', 'Books, Mags, Music & Video', 'Vinyl Records', 'Shopping']"
yaXAD-Mv2K2PEZobmqjIYA,Reflections Bingo,"3415 W Northern Ave
Phoenix, AZ 85051",Phoenix,AZ,5.0,"['Event Planning & Services', 'Venues & Event Spaces']"
o3ehs4ZEdsizbJyB9_j7uQ,Jam,"6938 E 1st St
Scottsdale, AZ 85251",Scottsdale,AZ,5.0,"['Art Schools', 'Specialty Schools', 'Shopping', 'Jewelry', 'Accessories', 'Fashion', 'Education']"
qarobAbxGSHI7ygf1f7a_Q,Jersey Mike's Subs,"891 E Baseline Rd
Suite 102
Gilbert, AZ 85233",Gilbert,AZ,3.5,"['Sandwiches', 'Restaurants']"
C1xciP65n4t4R1Q4h1zOHw,Fender Musical Instruments Corporation,"8860 E Chaparral Rd
Ste 100
Scottsdale, AZ 85250",Scottsdale,AZ,4.5,"['Music & DVDs', 'Books, Mags, Music & Video', 'Musical Instruments & Teachers', 'Shopping']"
gA5CuBxF-0CnOpGnryWJdQ,La Paloma Mexican Food,"519 W Thomas Rd
Phoenix, AZ 85013",Phoenix,AZ,4.0,"['Mexican', 'Restaurants']"
acaBJcFEKPmmSDIO6c-ZGQ,Basha's,"2075 N Pebble Creek Pkwy
Goodyear, AZ 85395",Goodyear,AZ,3.0,"['Food', 'Grocery']"
JxVGJ9Nly2FFIs_WpJvkug,Sauce,"14418 N Scottsdale Rd
Suite 181
Scottsdale, AZ 85254",Scottsdale,AZ,4.0,"['Pizza', 'Restaurants']"
9iLiMm3Z9nepRDu1AhgEoQ,Windmill Inns & Suites,"3535 W Chandler Blvd
Chandler, AZ 85226",Chandler,AZ,4.5,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']"
G2Re2E5Jkv_UF1xrenSsDg,Macy's,"4500 E Cactus Rd
Phoenix, AZ 85032",Phoenix,AZ,4.0,"['Department Stores', 'Fashion', 'Shopping']"
8lTdJA9GK59-NzJwleSJBQ,Clearly Professional Window Cleaning,"7501 S McAllister Ave
Tempe, AZ 85283",Tempe,AZ,5.0,"['Window Washing', 'Home Services']"
Jj7bcQ6NDfKoz4TXwvYfMg,Fuddruckers,"8941 N Black Canyon Hwy
Phoenix, AZ 85021",Phoenix,AZ,4.0,"['Burgers', 'Restaurants']"
OMXAkiWyKz0AM6PwwuP38Q,Sur La Table,"7131 W Ray Rd
Suite 14
Chandler, AZ 85226",Chandler,AZ,4.0,"['Kitchen & Bath', 'Shopping', 'Home & Garden']"
K0v87iFgB3sXSzw6e-BJ5w,AZ Wine Company,"100 Easy St
Carefree, AZ 85377",Carefree,AZ,4.5,"['Food', 'Beer, Wine & Spirits']"
jcQgDviuCuJLJWjYoTy9MA,Rocket Rooter Plumbing and Drain Service,"Mesa, AZ 85215",Mesa,AZ,5.0,"['Plumbing', 'Home Services']"
QL3vFMAsEHqfi1KGH-4igg,Red Bar,"Mondrian Hotel Scottsdale
7353 E Indian School Rd
Scottsdale, AZ 85251",Scottsdale,AZ,3.0,"['Bars', 'Nightlife', 'Lounges']"
yOYFhiTjT-SM4spKtDk92w,China Chan Restaurant,"10227 N Metro Pkwy E
Phoenix, AZ 85051",Phoenix,AZ,3.5,"['Buffets', 'Dim Sum', 'Chinese', 'Restaurants']"
4IAzFJ159GEaIGX1-y6Bmw,McDonald's,"9251 E Shea Blvd
Scottsdale, AZ 85258",Scottsdale,AZ,2.5,"['Burgers', 'Fast Food', 'Restaurants']"
s02x9kPbZii-uw1x0Oyy6w,Target Stores,"32351 N Scottsdale Rd
Scottsdale, AZ 85262",Scottsdale,AZ,3.5,"['Department Stores', 'Fashion', 'Shopping', 'Drugstores']"
e9JhcYEgNbRL8i8CTdQO2w,Kierland Commons,"15205 N Kierland Blvd
Ste 150
Scottsdale, AZ 85254",Scottsdale,AZ,4.5,"['Shopping Centers', 'Shopping']"
MLAnvEcvDfOWELHUN_0xEw,Nimbus American Bistro N' Brewery,"7001 N Scottsdale Rd
Ste 147
Scottsdale, AZ 85253",Scottsdale,AZ,3.0,"['Food', 'Breweries', 'American (New)', 'Restaurants']"
BtKwRZRMyTIi9BRFk-75sQ,Foothills Park,"W Union Hills Dr
Glendale, AZ 85308",Glendale,AZ,4.0,"['Active Life', 'Dog Parks', 'Amateur Sports Teams', 'Parks']"
MwIM3O0p8V_y2ttXz0_xGw,Little Tykes Pediatric Dentistry,"3592 S Atherton Blvd
Ste 107
Gilbert, AZ 85297",Gilbert,AZ,3.5,"['Pediatric Dentists', 'Health & Medical', 'Dentists']"
JHp5mJvYe6UtM_QsklR-iw,Peter Piper Pizza,"7607 E McDowell Road
Suite 101
Scottsdale, AZ 85257",Scottsdale,AZ,3.0,"['Pizza', 'Restaurants']"
O0ayL4r9AbonKwdgelBL3A,Plaza de Anaya,"524 W Broadway Rd
Ste 107
Tempe, AZ 85282",Tempe,AZ,5.0,"['Active Life', 'Performing Arts', 'Arts & Entertainment', 'Dance Studios', 'Fitness & Instruction']"
sygb2W4NRadVXiWhW8bnFQ,Sofia's Mexican Food,"616 E Pima Street
Gila Bend, AZ 85337",Gila Bend,AZ,3.5,"['Mexican', 'Restaurants']"
ECuS72VSRKpRRFToQiNQxA,Nostalgic Alley,"4532 N 7th St
#B
Phoenix, AZ 85014",Phoenix,AZ,5.0,"['Thrift Stores', 'Used, Vintage & Consignment', 'Fashion', 'Shopping']"
JvJjaTJCyUGu5SDpoJWvZg,Meatballz,"1930 W Pinnacle Peak Rd
Ste 119
Phoenix, AZ 85027",Phoenix,AZ,3.0,"['Caterers', 'Restaurants', 'Event Planning & Services', 'Italian']"
u9b49Z4JmvbP6KTe26lyoA,Cool Cuts 4 Kids,"4515 E Cactus Rd
Phoenix, AZ 85032",Phoenix,AZ,4.0,"['Hair Salons', 'Beauty & Spas']"
j1Ql05L7wn_8GGLj3jHkWg,Ford Robert Black Agency,"4032 N Miller Road
Scottsdale, AZ 85251",Scottsdale,AZ,5.0,[]
507GX11jtCsVYlzaur05_w,Panda Garden,"4730 E Warner Rd
Phoenix, AZ 85044",Phoenix,AZ,4.0,"['Chinese', 'Restaurants']"
3ic0B872Tql7dwO4YRTDCw,Charming Charlie,"2480 W Happy Valley Rd.
Suite 1215
Phoenix, AZ 85085",Phoenix,AZ,4.5,"['Fashion', 'Shopping', 'Jewelry', 'Accessories']"
0EE3BohGb4lxWRnHLiqNnw,Lost Dog Wash Trail,"124th St & Via Linda
Scottsdale, AZ 85255",Scottsdale,AZ,4.5,"['Active Life', 'Hiking']"
GhC1V0MRGoma3MP0Gn28Fw,Ruby's Diner,"3111 W Chandler Blvd Ste 2146
Chandler, AZ 85226",Chandler,AZ,4.5,['Restaurants']
pvJuii1d2CTQd9BF3gT_Sg,College Times,"PO Box 25589
Tempe, AZ 85285",Tempe,AZ,4.5,"['Print Media', 'Mass Media']"
-nPwp-pg-pTEO2nqo1h_lg,AMC Arrowhead 14,"7700 W. Arrowhead Tn. Ctr.
1079
Glendale, AZ 85308",Glendale,AZ,2.5,"['Arts & Entertainment', 'Cinema']"
reMYkuDhLk4raAviOFtvOQ,Lenny's Burger Shop,"13616 N 35th Ave
Ste 1
Phoenix, AZ 85029",Phoenix,AZ,4.0,"['Burgers', 'Restaurants']"
MG1IbQUurcXn8NQgXGM34Q,Yee-haws,"4410 E University Dr
Mesa, AZ 85205",Mesa,AZ,3.5,"['Delis', 'Restaurants']"
KqYY2rwD8ymjU9mVJwiuRQ,Panda Gourmet,"9020 N 19th Ave
Phoenix, AZ 85021",Phoenix,AZ,3.5,"['Chinese', 'Restaurants']"
