user_id,name,review_count,average_stars
CR2y7yEm4X035ZMzrTtN9Q,Jim,6,5.0
_9GXoHhdxc30ujPaQwh6Ew,Kelle,2,1.0
8mM-nqxjg6pT04kwcjMbsw,Stephanie,2,5.0
Ch6CdTR2IVaVANr-RglMOg,T,2,5.0
NZrLmHRyiHmyT1JrfzkCOA,Beth,1,1.0
mWx5Sxt_dx-sYBZg6RgJHQ,Amy,19,3.79
hryUDaRk7FLuDAYui2oldw,Beach,207,3.83
2t6fZNLtiqsihVmeO7zggg,christine,2,3.0
mn6F-eP5WU37b-iLTop2mQ,Denis,4,4.5
myXq7PFXkD_yfXT580SXMw,Shawn,10,3.9
EMpFiVyiaMS58XsLZdS6vA,Carey,6,3.4
74Y-B-8MJhshV7aYSQ93lQ,Johnatton,5,3.4
34ir_XnUsrqserEuSZdGQA,David,83,3.39
1Aq2NzZGREMRdAkw55V7dg,Marcus,8,2.88
B7XCvzvcriFc8xfIA-Wg4A,Renee,1,5.0
1aoDw1jVm5UQrVacWg0vnw,s,8,2.12
iH6y1T5AZZxaKpSNmvjGWw,joe,4,4.75
2tyadgcxcaEu5LWgLdwLAQ,Na Humma,22,4.23
mc2glxrNAZuPnCudIaoK4Q,Kay,11,3.64
LKFo-Z93fhHHF-CkXoXvLw,Cara,4,3.75
09ZCt5inrt35zuJVtxBB5A,Shelly,2,2.5
aSwY5VAO1S0uZASZlZgB3A,Ashley,56,3.79
oh3BckWd5WXSANfGlnjErQ,Megan,7,4.5
y5YxcvgbQX_uVW0UtHWKxA,Ann-Marie,9,4.0
Vu29H1sy1poRld4LIL2Jqw,Sandy,3,3.67
iK7I2HQ8kiyms_XuENr55w,Juli,2,5.0
QlSVps_q61IThBo489_Zyw,Mike,1,5.0
mzenirXt-7sZR2RhkhvLDQ,Jordan,3,3.0
qMCT8OblN3finTvXcba-oA,Elizabeth,16,3.62
jy94hgtLcuD0BbZ7o8KCYQ,Dan,4,4.5
8lrTKMjIJ9kt7rfVtjq3qg,Beth,3,5.0
IcSsf2QCA7T-KpdraDxTew,Scott,6,3.8
d09KNIq4YPYq1u5nVyqIUg,Michael,8,3.86
vxxNafFH_OMD5B1l231toA,Kelly,1,5.0
bwPaqC08ddUoq-zminI3bw,Leslie,6,3.17
LzT8mSfliJHhs68RTwQW5w,Steve,3,4.0
vAAeeV-kqabpuVr-DmtdFA,Kathey,4,1.33
R75rQfzSeXzO9LVh0MFjJg,Clay,8,3.75
D_nff52rbs-OCZbVXeCqzg,Amanda,1,5.0
6lyD0ZdmmYZsOMFFwOWsog,Amy,8,2.62
hqjDAPapGKJ3U4wUN1dGMA,LaToya,3,4.33
iR8iTaCOjQCM-JG4qf23NQ,Kate,155,3.79
1Md7FNu_GujIwxbb9TqSqQ,DAVID,18,3.89
-LmTXrlHEfLpDi34FVXNAg,Camille,9,4.0
ysZSP646Ikjb9pPKxuBurw,Lorena,5,4.2
gXQ3peDz-H8mFZO_U4ys3w,Riana,30,4.27
8gIp7Emu7xBDnBjRKgkSOg,Mimi,15,3.87
44302NAooinHOKKIWHDKXA,Kelsey,41,4.07
BDa9RGFZv9TV2lGAiuqjxQ,Mary,1,5.0
qw8n1PUrt4qBh-4eMjfv0Q,Carmen,27,4.11
F2M53He6gzMb1vp3m7cKJg,Syd,10,4.78
Mcdt7tUA7jqiqCtyxXgq4g,Kristina,2,2.0
q10h5nL1LnbaKMlNOfahfQ,O,3,4.33
CUUpi7gtqx1zojEGJ6Z5ew,Gabe,407,3.82
6hvcowqr8NYug9u-Bzw8Jg,Jay,379,3.51
pjfwk6ZnCAcJAsX4V6QhpA,Dustin,1,5.0
BqmMeZQD03LHJ_vibTOp2g,Dino,8,3.88
lodglSjhVGXzRUTDMoyOCg,Brian,118,3.14
vSxaLh9RCl1BJDbIt0hxww,Ruby,5,4.0
yBMGCKvNXnb9Gr6VVRTHGw,Gerard,2,1.5
1zKpgs-JZixiWiS8PWdj2w,Trinidad,3,5.0
lzHNLEvRNFN-RQFmczYNBw,Katie,15,4.14
HplYk367S1EV6uywIIK5-w,Joe,3,4.33
IwDii1N3yCTXsgs4Nm2OEQ,Bari,3,5.0
sGL10Y44CVzzKNkLVeHOEQ,Dana,11,3.55
UF4IY9O6EaVo-hS5FqMsiA,Marisa,193,3.91
mmLIP0mFRbDgRjlKvJSAQw,Art,3,2.5
