votes,user_id,name,average_stars,review_count,type,useful_votes,funny_votes,cool_votes
"{'funny': 0, 'useful': 7, 'cool': 0}",CR2y7yEm4X035ZMzrTtN9Q,Jim,5.0,6,user,7,0,0
"{'funny': 0, 'useful': 1, 'cool': 0}",_9GXoHhdxc30ujPaQwh6Ew,Kelle,1.0,2,user,1,0,0
"{'funny': 0, 'useful': 1, 'cool': 0}",8mM-nqxjg6pT04kwcjMbsw,Stephanie,5.0,2,user,1,0,0
"{'funny': 0, 'useful': 2, 'cool': 0}",Ch6CdTR2IVaVANr-RglMOg,T,5.0,2,user,2,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",NZrLmHRyiHmyT1JrfzkCOA,Beth,1.0,1,user,0,0,0
"{'funny': 30, 'useful': 45, 'cool': 36}",mWx5Sxt_dx-sYBZg6RgJHQ,Amy,3.79,19,user,45,30,36
"{'funny': 28, 'useful': 130, 'cool': 31}",hryUDaRk7FLuDAYui2oldw,Beach,3.83,207,user,130,28,31
"{'funny': 1, 'useful': 0, 'cool': 1}",2t6fZNLtiqsihVmeO7zggg,christine,3.0,2,user,0,1,1
"{'funny': 0, 'useful': 3, 'cool': 2}",mn6F-eP5WU37b-iLTop2mQ,Denis,4.5,4,user,3,0,2
"{'funny': 5, 'useful': 24, 'cool': 9}",myXq7PFXkD_yfXT580SXMw,Shawn,3.9,10,user,24,5,9
"{'funny': 3, 'useful': 16, 'cool': 6}",EMpFiVyiaMS58XsLZdS6vA,Carey,3.4,6,user,16,3,6
"{'funny': 0, 'useful': 5, 'cool': 1}",74Y-B-8MJhshV7aYSQ93lQ,Johnatton,3.4,5,user,5,0,1
"{'funny': 50, 'useful': 109, 'cool': 49}",34ir_XnUsrqserEuSZdGQA,David,3.39,83,user,109,50,49
"{'funny': 1, 'useful': 3, 'cool': 1}",1Aq2NzZGREMRdAkw55V7dg,Marcus,2.88,8,user,3,1,1
"{'funny': 0, 'useful': 0, 'cool': 0}",B7XCvzvcriFc8xfIA-Wg4A,Renee,5.0,1,user,0,0,0
"{'funny': 6, 'useful': 4, 'cool': 1}",1aoDw1jVm5UQrVacWg0vnw,s,2.12,8,user,4,6,1
"{'funny': 3, 'useful': 7, 'cool': 3}",iH6y1T5AZZxaKpSNmvjGWw,joe,4.75,4,user,7,3,3
"{'funny': 2, 'useful': 24, 'cool': 0}",2tyadgcxcaEu5LWgLdwLAQ,Na Humma,4.23,22,user,24,2,0
"{'funny': 0, 'useful': 10, 'cool': 4}",mc2glxrNAZuPnCudIaoK4Q,Kay,3.64,11,user,10,0,4
"{'funny': 1, 'useful': 11, 'cool': 3}",LKFo-Z93fhHHF-CkXoXvLw,Cara,3.75,4,user,11,1,3
"{'funny': 0, 'useful': 5, 'cool': 1}",09ZCt5inrt35zuJVtxBB5A,Shelly,2.5,2,user,5,0,1
"{'funny': 9, 'useful': 81, 'cool': 31}",aSwY5VAO1S0uZASZlZgB3A,Ashley,3.79,56,user,81,9,31
"{'funny': 0, 'useful': 3, 'cool': 1}",oh3BckWd5WXSANfGlnjErQ,Megan,4.5,7,user,3,0,1
"{'funny': 0, 'useful': 7, 'cool': 0}",y5YxcvgbQX_uVW0UtHWKxA,Ann-Marie,4.0,9,user,7,0,0
"{'funny': 0, 'useful': 1, 'cool': 1}",Vu29H1sy1poRld4LIL2Jqw,Sandy,3.67,3,user,1,0,1
"{'funny': 0, 'useful': 1, 'cool': 1}",iK7I2HQ8kiyms_XuENr55w,Juli,5.0,2,user,1,0,1
"{'funny': 0, 'useful': 0, 'cool': 0}",QlSVps_q61IThBo489_Zyw,Mike,5.0,1,user,0,0,0
"{'funny': 5, 'useful': 15, 'cool': 0}",mzenirXt-7sZR2RhkhvLDQ,Jordan,3.0,3,user,15,5,0
"{'funny': 13, 'useful': 21, 'cool': 5}",qMCT8OblN3finTvXcba-oA,Elizabeth,3.62,16,user,21,13,5
"{'funny': 1, 'useful': 7, 'cool': 3}",jy94hgtLcuD0BbZ7o8KCYQ,Dan,4.5,4,user,7,1,3
"{'funny': 0, 'useful': 2, 'cool': 2}",8lrTKMjIJ9kt7rfVtjq3qg,Beth,5.0,3,user,2,0,2
"{'funny': 0, 'useful': 3, 'cool': 2}",IcSsf2QCA7T-KpdraDxTew,Scott,3.8,6,user,3,0,2
"{'funny': 0, 'useful': 2, 'cool': 0}",d09KNIq4YPYq1u5nVyqIUg,Michael,3.86,8,user,2,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",vxxNafFH_OMD5B1l231toA,Kelly,5.0,1,user,0,0,0
"{'funny': 0, 'useful': 5, 'cool': 1}",bwPaqC08ddUoq-zminI3bw,Leslie,3.17,6,user,5,0,1
"{'funny': 4, 'useful': 3, 'cool': 0}",LzT8mSfliJHhs68RTwQW5w,Steve,4.0,3,user,3,4,0
"{'funny': 1, 'useful': 4, 'cool': 0}",vAAeeV-kqabpuVr-DmtdFA,Kathey,1.33,4,user,4,1,0
"{'funny': 2, 'useful': 8, 'cool': 2}",R75rQfzSeXzO9LVh0MFjJg,Clay,3.75,8,user,8,2,2
"{'funny': 0, 'useful': 4, 'cool': 1}",D_nff52rbs-OCZbVXeCqzg,Amanda,5.0,1,user,4,0,1
"{'funny': 0, 'useful': 3, 'cool': 1}",6lyD0ZdmmYZsOMFFwOWsog,Amy,2.62,8,user,3,0,1
"{'funny': 1, 'useful': 5, 'cool': 3}",hqjDAPapGKJ3U4wUN1dGMA,LaToya,4.33,3,user,5,1,3
"{'funny': 113, 'useful': 386, 'cool': 147}",iR8iTaCOjQCM-JG4qf23NQ,Kate,3.79,155,user,386,113,147
"{'funny': 1, 'useful': 3, 'cool': 1}",1Md7FNu_GujIwxbb9TqSqQ,DAVID,3.89,18,user,3,1,1
"{'funny': 0, 'useful': 1, 'cool': 0}",-LmTXrlHEfLpDi34FVXNAg,Camille,4.0,9,user,1,0,0
"{'funny': 1, 'useful': 2, 'cool': 0}",ysZSP646Ikjb9pPKxuBurw,Lorena,4.2,5,user,2,1,0
"{'funny': 21, 'useful': 38, 'cool': 37}",gXQ3peDz-H8mFZO_U4ys3w,Riana,4.27,30,user,38,21,37
"{'funny': 5, 'useful': 17, 'cool': 8}",8gIp7Emu7xBDnBjRKgkSOg,Mimi,3.87,15,user,17,5,8
"{'funny': 8, 'useful': 20, 'cool': 12}",44302NAooinHOKKIWHDKXA,Kelsey,4.07,41,user,20,8,12
